1	59383.973411319064
2	54838.1026724972
3	54838.1026724972
4	54803.726820952186
5	54803.726820952186
6	54803.726820952186
7	54803.726820952186
8	54803.726820952186
9	54803.726820952186
10	54803.726820952186
11	54803.726820952186
12	54564.75929661628
13	54564.75929661628
14	54564.75929661628
15	54564.75929661628
16	54564.75929661628
17	54564.75929661628
18	54564.75929661628
19	54564.75929661628
20	54564.75929661628
21	54564.75929661628
22	54564.75929661628
23	54564.75929661628
24	54564.75929661628
25	54564.75929661628
26	54564.75929661628
27	54564.75929661628
28	54279.62482145341
29	54279.62482145341
30	54129.54033498492
31	54129.54033498492
32	54129.54033498492
33	54129.54033498492
34	54129.54033498492
35	54129.54033498492
36	54129.54033498492
37	54129.54033498492
38	54129.54033498492
39	54129.54033498492
40	54129.54033498492
41	54129.54033498492
42	54129.54033498492
43	54129.54033498492
44	54129.54033498492
45	54129.54033498492
46	54129.54033498492
47	54129.54033498492
48	54129.54033498492
49	54129.54033498492
50	54129.54033498492
