1	36303.1359668613
2	29675.55996404653
3	29180.386307888028
4	29096.82960013898
5	28559.56570598673
6	28559.56570598673
7	28559.56570598673
8	28559.56570598673
9	28559.56570598673
10	28559.56570598673
11	28559.56570598673
12	28559.56570598673
13	28559.56570598673
14	28559.56570598673
15	28559.56570598673
16	28544.557714505918
17	28470.11539321616
18	28444.905196676482
19	28440.487210631265
20	28376.665150913454
21	28376.665150913454
22	28376.665150913454
23	28376.665150913454
24	28376.665150913454
25	28373.511196340052
26	28373.511196340052
27	28373.511196340052
28	28373.511196340052
29	28373.511196340052
30	28372.923289277074
31	28372.923289277074
32	28372.923289277074
33	28372.923289277074
34	28372.923289277074
35	28372.923289277074
36	28372.923289277074
37	28372.923289277074
38	28372.923289277074
39	28372.923289277074
40	28372.923289277074
41	28372.923289277074
42	28372.923289277074
43	28372.923289277074
44	28372.923289277074
45	28234.38604026944
46	28234.38604026944
47	28234.38604026944
48	28234.38604026944
49	28234.38604026944
50	28234.38604026944
