1	86709.58742228127
2	67480.25338508502
3	63474.95170653513
4	63474.95170653513
5	63474.95170653513
6	61903.510583832656
7	61903.510583832656
8	61903.510583832656
9	61903.510583832656
10	61903.510583832656
11	61903.510583832656
12	61903.510583832656
13	61903.510583832656
14	61903.510583832656
15	61903.510583832656
16	61903.510583832656
17	61903.510583832656
18	61903.510583832656
19	61903.510583832656
20	61903.510583832656
21	61903.510583832656
22	61903.510583832656
23	61903.510583832656
24	61903.510583832656
