1	109861.31662390269
2	44337.05440741389
3	41942.61975583021
4	41279.236035662805
5	41279.236035662805
6	37587.44876622496
7	37587.44876622496
8	37587.44876622496
9	37587.44876622496
10	37587.44876622496
11	37571.4487411947
12	37571.4487411947
13	37571.4487411947
14	37571.4487411947
15	37571.4487411947
16	37561.10772344782
17	37561.10772344782
18	37561.10772344782
19	37561.10772344782
20	37561.10772344782
21	37561.10772344782
22	37561.10772344782
23	37561.10772344782
24	37561.10772344782
25	37561.10772344782
