1	162371.04621832108
2	110286.65932420321
3	107993.110765933
4	107877.1063978938
5	107877.1063978938
6	107877.1063978938
7	107877.1063978938
8	107877.1063978938
9	107877.1063978938
10	107877.1063978938
11	107877.1063978938
12	107877.1063978938
13	107877.1063978938
14	107877.1063978938
15	107877.1063978938
16	107877.1063978938
17	107877.1063978938
18	107877.1063978938
19	107877.1063978938
20	107877.1063978938
21	107877.1063978938
22	107877.1063978938
23	107877.1063978938
24	107877.1063978938
25	107877.1063978938
